School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 4,83,53,48,83,30.1,1,89,43.8,14
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 5,82,20.7,5,82,58.5,82,89,37.1,10
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 6,78,62.8,64,77,63.6,79,84,33.3,4
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 7,77,68.8,89,75,57.3,54,73,26,4
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 8,71,69,81,76,82.9,98,76,48.7,42
400031,CICS - WRIGHTWOOD,Charter,MATH,Grades 3-8 Combined,474,59.3,66,475,55.8,60,502,36.1,9
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 3,83,56.6,52,82,48.8,17,91,39.6,2
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 4,83,30.1,8,83,44.6,5,89,58.4,60
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 5,82,32.9,4,81,61.7,74,89,47.2,34
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 6,78,61.5,62,77,74,97,83,44.6,11
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 7,77,74,95,75,57.3,70,73,49.3,36
400031,CICS - WRIGHTWOOD,Charter,READING,Grade 8,71,42.3,22,76,64.5,79,75,49.3,30
400031,CICS - WRIGHTWOOD,Charter,READING,Grades 3-8 Combined,474,49.4,40,474,58.2,60,500,48,24
400033,CICS - LONGWOOD,Charter,MATH,Grade 3,143,74.1,57,151,57.6,54,139,65.5,86
400033,CICS - LONGWOOD,Charter,MATH,Grade 4,131,67.9,91,159,61.6,79,137,62.8,89
